Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned int)
  0.00      4.39     0.00   849925     0.00     0.00  std::allocator<int>::allocator()
  0.00      4.39     0.00   849925     0.00     0.00  std::allocator<int>::~allocator()
  0.00      4.39     0.00   849925     0.00     0.00  std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_get_Tp_allocator()
  0.00      4.39     0.00   849925     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      4.39     0.00   849925     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      4.39     0.00   849925     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      4.39     0.00   849925     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      4.39     0.00   849925     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      4.39     0.00   849925     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      4.39     0.00   846919     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const
  0.00      4.39     0.00   846919     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.00      4.39     0.00   846919     0.00     0.00  std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&)
  0.00      4.39     0.00   846919     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.00      4.39     0.00   846919     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned int, int, int>(int*, unsigned int, int const&, std::allocator<int>&)
  0.00      4.39     0.00   846919     0.00     0.00  int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.00      4.39     0.00   756595     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::begin()
  0.00      4.39     0.00   745041     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::end()
  0.00      4.39     0.00   728930     0.00     0.00  __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >::__normal_iterator(Operation const* const&)
  0.00      4.39     0.00   724136     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Operation*, Operation*> >::new_allocator()
  0.00      4.39     0.00   724136     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Operation*, Operation*> >::~new_allocator()
  0.00      4.39     0.00   724136     0.00     0.00  std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_get_Tp_allocator() const
  0.00      4.39     0.00   724136     0.00     0.00  std::allocator<std::pair<Operation*, Operation*> >::allocator<std::_List_node<std::pair<Operation*, Operation*> > >(std::allocator<std::_List_node<std::pair<Operation*, Operation*> > > const&)
  0.00      4.39     0.00   724136     0.00     0.00  std::allocator<std::pair<Operation*, Operation*> >::~allocator()
  0.00      4.39     0.00   709050     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::size() const
  0.00      4.39     0.00   688690     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   688690     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   688690     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   679940     0.00     0.00  __gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >::base() const
  0.00      4.39     0.00   679940     0.00     0.00  std::_Miter_base<Operation**>::iterator_type std::__miter_base<Operation**>(Operation**)
  0.00      4.39     0.00   637364     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(int) const
  0.00      4.39     0.00   600800     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      4.39     0.00   583882     0.00     0.00  std::_List_iterator<std::pair<Operation*, Operation*> >::_List_iterator(std::__detail::_List_node_base*)
  0.00      4.39     0.00   557216     0.00     0.00  std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::end()
